2016-05-23 15:54:33.1898 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 5999
2016-05-23 15:54:33.2088 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 5999
2016-05-23 15:54:33.2478 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 5999
2016-05-23 15:54:33.2268 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 6035
2016-05-23 15:54:33.4918 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 138
2016-05-23 15:54:33.9978 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 356
2016-05-23 15:54:33.9978 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 356
2016-05-23 15:54:33.9978 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 356
2016-05-23 15:54:34.0668 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 713
2016-05-23 15:54:34.0738 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:34.9318 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 854
2016-05-23 15:54:34.9428 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 854
2016-05-23 15:54:34.9428 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 854
2016-05-23 15:54:34.9428 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 854
2016-05-23 15:54:34.9768 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 904
2016-05-23 15:54:35.8688 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 817
2016-05-23 15:54:35.8688 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 803
2016-05-23 15:54:35.8688 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 803
2016-05-23 15:54:35.8788 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 803
2016-05-23 15:54:35.9288 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 803
2016-05-23 15:54:36.8068 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 851
2016-05-23 15:54:36.8068 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 851
2016-05-23 15:54:36.8398 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 929
2016-05-23 15:54:36.8398 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:36.8398 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:37.7398 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 822
2016-05-23 15:54:37.7398 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 798
2016-05-23 15:54:37.7658 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 798
2016-05-23 15:54:37.7658 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 798
2016-05-23 15:54:37.7658 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 798
2016-05-23 15:54:38.6748 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 900
2016-05-23 15:54:38.6748 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 838
2016-05-23 15:54:38.6748 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 838
2016-05-23 15:54:38.7078 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 4
2016-05-23 15:54:38.7508 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 6
2016-05-23 15:54:39.6168 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 842
2016-05-23 15:54:39.6168 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 938
2016-05-23 15:54:39.6218 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:39.6218 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:39.6218 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:40.5578 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 935
2016-05-23 15:54:40.5578 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 897
2016-05-23 15:54:40.5578 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 897
2016-05-23 15:54:40.5578 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 897
2016-05-23 15:54:40.5578 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 897
2016-05-23 15:54:41.4868 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 815
2016-05-23 15:54:41.4868 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 815
2016-05-23 15:54:41.5348 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:41.5458 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:41.6108 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 1034
2016-05-23 15:54:42.4188 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 704
2016-05-23 15:54:42.4188 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 704
2016-05-23 15:54:42.4188 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 704
2016-05-23 15:54:42.4378 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 803
2016-05-23 15:54:42.4508 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:43.3548 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 850
2016-05-23 15:54:43.3548 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 850
2016-05-23 15:54:43.3548 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:43.3878 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 7
2016-05-23 15:54:43.3878 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 896
2016-05-23 15:54:44.2898 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 887
2016-05-23 15:54:44.2898 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 859
2016-05-23 15:54:44.2898 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 887
2016-05-23 15:54:44.2898 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 887
2016-05-23 15:54:44.3158 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 2
2016-05-23 15:54:45.2258 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 863
